season_id,draft_id,match_id,player1,player2,player1Wins,player2Wins,draws,round
Season-4,20250112,Season-4_20250112_2_Manuel_Guy,Manuel,Guy,1,2,0,2
Season-4,20250112,Season-4_20250112_3_Sili_Manuel,Sili,Manuel,0,2,0,3
Season-4,20250112,Season-4_20250112_3_Valentin_Lukas Stalder,Valentin,Lukas Stalder,2,0,0,3
Season-4,20250112,Season-4_20250112_3_Guy_Dimlas,Guy,Dimlas,0,2,0,3
Season-4,20250112,Season-4_20250112_3_Tommy_Matthias,Tommy,Matthias,2,1,0,3
Season-4,20250112,Season-4_20250112_3_Andrin_Yannik,Andrin,Yannik,2,0,0,3
Season-4,20250112,Season-4_20250112_3_Noe T._Ivo,Noe T.,Ivo,1,1,1,3
Season-4,20250112,Season-4_20250112_4_Dimlas_Andrin,Dimlas,Andrin,2,0,0,4
Season-4,20250112,Season-4_20250112_4_Guy_Valentin,Guy,Valentin,2,0,0,4
Season-4,20250112,Season-4_20250112_4_Lukas Stalder_Yannik,Lukas Stalder,Yannik,2,0,0,4
Season-4,20250112,Season-4_20250112_4_Tommy_Sili,Tommy,Sili,2,1,0,4
Season-4,20250112,Season-4_20250112_4_Manuel_Noe T.,Manuel,Noe T.,1,2,0,4
Season-4,20250112,Season-4_20250112_4_Ivo_Matthias,Ivo,Matthias,2,0,0,4
Season-4,20250209,Season-4_20250209_1_Matthias_Manuel,Matthias,Manuel,2,1,0,1
Season-4,20250209,Season-4_20250209_1_Joel K._Dimlas,Joel K.,Dimlas,0,2,0,1
Season-4,20250209,Season-4_20250209_1_Andrin_Sili,Andrin,Sili,2,1,0,1
Season-4,20250209,Season-4_20250209_1_Myri_Lukas Stalder,Myri,Lukas Stalder,0,2,0,1
Season-4,20250209,Season-4_20250209_1_Tinu_Ivo,Tinu,Ivo,1,2,0,1
Season-4,20250209,Season-4_20250209_2_Lukas Stalder_Sili,Lukas Stalder,Sili,0,2,0,2
Season-4,20250209,Season-4_20250209_2_Dimlas_Andrin,Dimlas,Andrin,2,0,0,2
Season-4,20250209,Season-4_20250209_2_Matthias_Ivo,Matthias,Ivo,2,1,0,2
Season-4,20250209,Season-4_20250209_2_Manuel_Joel K.,Manuel,Joel K.,0,2,0,2
Season-4,20250209,Season-4_20250209_2_Myri_Tinu,Myri,Tinu,2,0,0,2
Season-4,20250209,Season-4_20250209_3_Myri_Andrin,Myri,Andrin,1,2,0,3
Season-4,20250209,Season-4_20250209_3_Tinu_Manuel,Tinu,Manuel,2,0,0,3
Season-4,20250209,Season-4_20250209_3_Lukas Stalder_Ivo,Lukas Stalder,Ivo,1,1,1,3
Season-4,20250209,Season-4_20250209_3_Matthias_Dimlas,Matthias,Dimlas,1,2,0,3
Season-4,20250209,Season-4_20250209_3_Joel K._Sili,Joel K.,Sili,0,2,0,3
Season-4,20250209,Season-4_20250209_4_Lukas Stalder_Tinu,Lukas Stalder,Tinu,2,0,0,4
Season-4,20250209,Season-4_20250209_4_Dimlas_Sili,Dimlas,Sili,0,2,0,4
Season-4,20250209,Season-4_20250209_4_Ivo_Joel K.,Ivo,Joel K.,2,0,0,4
Season-4,20250209,Season-4_20250209_4_Matthias_Andrin,Matthias,Andrin,2,0,0,4
Season-4,20250209,Season-4_20250209_4_Myri_Manuel,Myri,Manuel,2,1,0,4
Season-4,20250323,Season-4_20250323_1_Yannik_Ivo,Yannik,Ivo,0,2,0,1
Season-4,20250323,Season-4_20250323_1_Manuel_Tommy,Manuel,Tommy,0,2,0,1
Season-4,20250323,Season-4_20250323_1_Andrin_Sili,Andrin,Sili,1,2,0,1
Season-4,20250323,Season-4_20250323_1_Guy_Lukas Stalder,Guy,Lukas Stalder,2,0,0,1
Season-4,20250323,Season-4_20250323_1_Dimlas_Tinu,Dimlas,Tinu,1,2,0,1
Season-4,20250323,Season-4_20250323_2_Guy_Ivo,Guy,Ivo,2,1,0,2
Season-4,20250323,Season-4_20250323_2_Lukas Stalder_Andrin,Lukas Stalder,Andrin,1,1,1,2
Season-4,20250323,Season-4_20250323_2_Tommy_Sili,Tommy,Sili,2,1,0,2
Season-4,20250323,Season-4_20250323_2_Tinu_Manuel,Tinu,Manuel,1,2,0,2
Season-4,20250323,Season-4_20250323_2_Yannik_Dimlas,Yannik,Dimlas,0,2,0,2
Season-4,20250323,Season-4_20250323_3_Tommy_Guy,Tommy,Guy,2,0,0,3
Season-4,20250323,Season-4_20250323_3_Ivo_Tinu,Ivo,Tinu,2,0,0,3
Season-4,20250323,Season-4_20250323_3_Manuel_Dimlas,Manuel,Dimlas,1,2,0,3
Season-4,20250323,Season-4_20250323_3_Lukas Stalder_Sili,Lukas Stalder,Sili,0,2,0,3
Season-4,20250323,Season-4_20250323_3_Andrin_Yannik,Andrin,Yannik,2,0,0,3
Season-4,20250323,Season-4_20250323_4_Yannik_Tinu,Yannik,Tinu,0,2,0,4
Season-4,20250323,Season-4_20250323_4_Manuel_Lukas Stalder,Manuel,Lukas Stalder,2,0,0,4
Season-4,20250323,Season-4_20250323_4_Sili_Guy,Sili,Guy,1,1,1,4
Season-4,20250323,Season-4_20250323_4_Dimlas_Andrin,Dimlas,Andrin,2,0,0,4
Season-4,20250323,Season-4_20250323_4_Tommy_Ivo,Tommy,Ivo,2,1,0,4
Season-4,20250406,Season-4_20250406_1_Valentin_Matthias,Valentin,Matthias,0,2,0,1
Season-4,20250406,Season-4_20250406_1_Andrin_Manuel,Andrin,Manuel,1,1,1,1
Season-4,20250406,Season-4_20250406_1_Tobi_Guy,Tobi,Guy,0,2,0,1
Season-4,20250406,Season-4_20250406_1_Joel K._Sili,Joel K.,Sili,2,0,0,1
Season-4,20250406,Season-4_20250406_1_Lukas Stalder_Dimlas,Lukas Stalder,Dimlas,2,0,0,1
Season-4,20250406,Season-4_20250406_2_Valentin_Andrin,Valentin,Andrin,0,2,0,2
Season-4,20250406,Season-4_20250406_2_Manuel_Dimlas,Manuel,Dimlas,0,2,0,2
Season-4,20250406,Season-4_20250406_2_Guy_Joel K.,Guy,Joel K.,2,1,0,2
Season-4,20250406,Season-4_20250406_2_Lukas Stalder_Matthias,Lukas Stalder,Matthias,1,2,0,2
Season-4,20250406,Season-4_20250406_2_Sili_Tobi,Sili,Tobi,2,1,0,2
Season-4,20250406,Season-4_20250406_3_Matthias_Guy,Matthias,Guy,1,2,0,3
Season-4,20250406,Season-4_20250406_3_Tobi_Valentin,Tobi,Valentin,2,0,0,3
Season-4,20250406,Season-4_20250406_3_Joel K._Dimlas,Joel K.,Dimlas,2,1,0,3
Season-4,20250406,Season-4_20250406_3_Andrin_Lukas Stalder,Andrin,Lukas Stalder,2,0,0,3
Season-4,20250406,Season-4_20250406_3_Sili_Manuel,Sili,Manuel,1,2,0,3
Season-4,20250406,Season-4_20250406_4_Joel K._Matthias,Joel K.,Matthias,0,2,0,4
Season-4,20250406,Season-4_20250406_4_Manuel_Tobi,Manuel,Tobi,0,2,0,4
Season-4,20250406,Season-4_20250406_4_Lukas Stalder_Valentin,Lukas Stalder,Valentin,0,2,0,4
Season-4,20250406,Season-4_20250406_4_Dimlas_Sili,Dimlas,Sili,1,2,0,4
Season-4,20250406,Season-4_20250406_4_Guy_Andrin,Guy,Andrin,0,2,0,4
