season_id,scryfallId,archetype,count
Season-4,1658f12b-8ac5-4d29-86d5-f20c4d5f7e48,Control,1
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Aggro,3
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Combo,2
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Combo-Control,2
Season-4,16c8d2fa-54a7-46e8-980c-905258497c90,Control,4
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Aggro,2
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Combo,3
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Combo-Control,1
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Control,1
Season-4,1716b4dd-9045-462b-b053-72de450a8cde,Control-Aggro (Midrange),1
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Combo,1
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Combo-Control,3
Season-4,17260fff-b239-4af4-9306-3236ae3fa5a5,Control,3
Season-4,175b3d28-5c74-4972-9b5c-5e39762c78f4,Combo,6
Season-4,175b3d28-5c74-4972-9b5c-5e39762c78f4,Control,1
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Aggro,1
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Combo,2
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Combo-Control,4
Season-4,1785cb18-c291-4fd5-b8c7-ace893c32e49,Control,2
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Combo,3
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Control,3
Season-4,17db2b6a-eaa8-4a08-9e86-370bbd058574,Control-Aggro (Midrange),3
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Aggro,6
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Control,2
Season-4,17f28b16-da65-41a8-ba4f-f1c5e104aad6,Control-Aggro (Midrange),1
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,Aggro,5
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,Combo-Control,1
Season-4,18092f68-b96e-4084-9eba-b240d2195d81,Control-Aggro (Midrange),1
Season-4,187b6719-e5ed-4615-a00b-3313ceca055b,Combo,4
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,Aggro,4
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,Aggro-Control (Tempo),1
Season-4,187e887c-c39d-4d25-a506-cdc95fc70316,Control-Aggro (Midrange),1
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Aggro,3
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Aggro-Control (Tempo),1
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Combo,4
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Combo-Control,1
Season-4,18a3cca1-e50e-49b6-9e1a-f86640e3b177,Control,1
Season-4,18adbda4-8d36-47cd-afbc-c785aaa8ed80,Combo,4
Season-4,18adbda4-8d36-47cd-afbc-c785aaa8ed80,Control,1
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Combo,8
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Control,2
Season-4,18bd50f2-c3ba-4217-a2d5-bb771e199706,Control-Aggro (Midrange),1
Season-4,18f23daa-bc59-456a-8a28-3823e51bc74b,Combo,8
